Simulation,Mean_Log_Wealth,Std_Log_Wealth,Slope_Log_Wealth,Time_to_Ruin,Peak_Wealth,Min_Wealth,Final_Wealth
43,7.652851476,0.461079197,0.001118109,,5161.256783,983.0577496,1757.920621
44,7.141039301,0.530544762,0.001498562,,3689.181268,539.4999569,2573.771581
45,7.03725499,0.603609837,0.001812888,,3760.662952,404.491305,3536.271643
46,7.480258483,0.325218452,0.000826291,,4080.636863,937.5903063,2415.321114
47,7.98369174,0.593519529,0.001926148,,7056.456283,889.5930973,6264.720928
48,7.936845977,0.551745049,0.001776774,,5869.838599,896.3596173,5177.455312
49,7.111903522,0.439162078,0.001085284,,3768.258972,669.3981622,3768.258972
50,7.979438805,0.345930421,-0.000101009,,6250.489733,1000,2573.771581
51,7.916089115,0.451254025,0.001394766,,7232.976618,984.0290437,5879.042584
52,8.096108875,0.68293447,0.002304513,,16756.68006,1000,16249.07267
53,7.655644448,0.429337495,0.000933036,,6525.098932,1000,2573.771581
54,7.562270306,0.312654005,0.00015063,,3871.244201,1000,1873.244146
55,8.16447322,0.700265262,0.002332719,,12602.2499,973.6284683,12602.2499
56,7.824936655,0.433229402,0.001254612,,7070.709352,942.2313219,6264.720928
57,6.220945358,0.607824155,-0.001960987,,1429.135267,142.2379558,178.4739423
58,7.895395729,0.672705694,0.002222346,,8431.037916,733.3566947,8077.597767
59,6.849110219,0.200124827,0.000121081,,1719.331531,589.0329892,1363.385802
60,7.868354679,0.56336679,0.001698236,,5654.395886,790.9852152,4278.888688
61,7.307538537,0.213473198,0.000180191,,2381.139775,882.0062051,1363.385802
62,7.5948973,0.453303136,0.00141974,,4306.995543,758.1679659,3536.271643
63,7.31693308,0.447624792,-0.000689631,,2687.485599,542.8684976,722.21671
64,6.646365821,0.176106889,-2.15E-05,,1220.669036,530.0524973,931.2108473
65,8.29079174,0.691323595,0.002303058,,14403.33988,969.7071624,13428.98568
66,7.785073324,0.57282545,0.001830469,,5544.65425,713.312179,4015.46519
67,8.025776755,0.850180132,0.002847752,,10799.85942,786.2114695,8077.597767
68,8.862779772,1.07263107,0.003677871,,37454.1023,975.5950636,30674.66408
69,7.526659909,0.298869826,0.000561044,,4261.655388,1000,3768.258972
70,7.11742599,0.212707467,-0.000199498,,2132.939288,717.2583754,992.3003618
71,7.38897907,0.218344602,0.000305289,,2844.858814,896.8023247,2415.321114
72,7.799545998,0.673970097,0.002214608,,6908.37507,749.4782079,4559.593357
73,7.562778119,0.513988868,0.001659772,,4559.593357,803.8917408,4559.593357
74,7.783613361,0.317804072,0.000801537,,5339.194669,944.1344993,5177.455312
75,7.117489467,0.210014505,0.000372685,,1947.251217,716.5503995,1649.69682
76,7.988198582,0.438590013,0.001308645,,6421.435657,893.1904375,5517.107962
77,7.295541451,0.307781473,-3.31E-06,,2933.855185,721.0860374,1452.82696
78,7.314901827,0.35317766,0.000802363,,2894.506178,820.2425799,2742.616754
79,7.059979628,0.189099948,-2.93E-06,,1794.331869,741.3490034,1279.450957
80,7.753906292,0.677348435,0.002202002,,6705.719723,740.8247294,4278.888688
81,7.53326148,0.335408191,0.000751628,,3428.561835,866.1331647,2415.321114
82,7.489399119,0.29179946,0.000760286,,2965.448894,863.960516,2266.625417
83,7.51377415,0.385452951,0.001196107,,3657.561794,759.3243343,2573.771581
