Simulation,Mean_Log_Wealth,Std_Log_Wealth,Slope_Log_Wealth,Time_to_Ruin,Peak_Wealth,Min_Wealth,Final_Wealth
752,7.553122311,0.657025896,0.001032377,,8954.302433,513.1581182,3138.428377
753,5.713504358,0.558271944,-0.002565676,397,1000,92.29599818,92.29599818
754,6.509566296,0.709231827,-0.000444751,,4177.248169,111.6781578,2143.58881
755,7.58206766,0.643564561,-0.000609554,,7400.249944,385.5432894,826.446281
756,5.581700603,0.563100754,-0.009433158,183,1000,92.29599818,92.29599818
757,6.914919116,0.62058793,-0.000265942,611,3452.271214,92.29599818,92.29599818
758,6.132588673,0.570318365,-0.006366,277,1610.51,92.29599818,92.29599818
759,7.342887668,0.919113227,0.002044437,,14420.99361,163.5079908,826.446281
760,6.476136322,0.743300941,-0.014415219,139,1610.51,92.29599818,92.29599818
761,5.950439085,0.485302142,-0.001585002,293,1000,92.29599818,92.29599818
762,6.410161873,0.533982195,-0.000707779,,2357.947691,148.643628,1210
763,6.170410591,0.820378105,-0.001469483,,2357.947691,101.525598,217.6291358
764,5.657004477,0.609376692,-0.016669935,121,1000,92.29599818,92.29599818
765,8.680848354,1.538576021,0.004405666,,97017.23378,620.9213231,21113.77675
766,5.777648861,0.764272479,-0.023146107,111,1331,92.29599818,92.29599818
767,6.167980089,0.743870353,-0.001378532,679,2143.58881,92.29599818,92.29599818
768,6.929464291,0.738024011,-0.000267088,,11918.17654,239.3920494,1771.561
769,6.157276743,0.510320635,-0.00149663,801,1464.1,92.29599818,92.29599818
770,7.375260756,1.173563543,-0.002226425,,15863.09297,148.643628,263.3312543
771,6.018447507,0.646267476,-0.001403676,,1948.7171,111.6781578,148.643628
772,7.937219479,1.020018894,0.002982906,,21113.77675,350.4938995,11918.17654
773,9.973296287,1.063281811,0.00268422,,156247.2252,1000,37404.34344
774,6.198338427,0.62836591,-0.000140219,739,1948.7171,92.29599818,92.29599818
775,5.714623856,0.581797658,-0.004621036,325,1210,92.29599818,92.29599818
776,6.702707232,0.711247033,-0.00460005,435,3138.428377,92.29599818,92.29599818
777,6.306361468,0.52978183,-0.00252529,567,1771.561,92.29599818,92.29599818
778,6.010853621,0.56779785,-0.00519108,289,1100,92.29599818,92.29599818
779,9.55968248,1.576936542,0.004964401,,156247.2252,751.3148009,80179.53205
780,10.72263806,1.1254187,0.003039289,,445791.5685,909.0909091,304481.6395
781,7.722795378,1.135630414,-0.000873166,,72890.48369,424.0976184,564.4739301
782,7.220441224,1.338586836,0.003862731,,21113.77675,148.643628,2593.74246
783,7.25624205,0.702013214,0.000360036,,8140.274939,289.6643797,2143.58881
784,9.475322021,0.663572511,0.001283174,,34003.94859,909.0909091,21113.77675
785,6.901262426,0.904304028,-0.003226778,777,6727.499949,92.29599818,92.29599818
786,8.315032459,0.710340855,0.001611933,,30912.68053,751.3148009,25547.66986
